@relation 'snake_game-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P20.0-weka.filters.unsupervised.instance.RemovePercentage-P20.0-V-weka.filters.unsupervised.attribute.Remove-R3-4,10,16-17'

@attribute snake_pos_x numeric
@attribute snake_pos_y numeric
@attribute food_pos_x numeric
@attribute food_pos_y numeric
@attribute food_side_y {UP,DOWN,EQUAL}
@attribute food_side_x {RIGHT,LEFT,EQUAL}
@attribute manhattan_distance numeric
@attribute large_snake numeric
@attribute right_safe {True,False}
@attribute left_safe {True,False}
@attribute up_safe {True,False}
@attribute down_safe {True,False}
@attribute cycle {True,False}
@attribute body_indirection {True,False}
@attribute previous_direction {UP,DOWN,LEFT,RIGHT}
@attribute direction {UP,DOWN,LEFT,RIGHT}

@data
320,90,120,50,UP,LEFT,240,27,True,True,True,False,True,False,UP,UP
160,220,390,80,UP,RIGHT,370,55,True,True,True,False,False,False,UP,UP
270,430,270,380,UP,EQUAL,50,35,True,True,True,False,True,False,UP,UP
250,410,310,120,UP,RIGHT,350,48,True,False,True,True,True,True,RIGHT,RIGHT
50,160,400,20,UP,RIGHT,490,8,True,True,True,False,True,False,UP,UP
120,260,130,70,UP,RIGHT,200,13,True,True,True,False,False,False,UP,UP
440,200,450,270,DOWN,RIGHT,80,16,True,True,False,True,False,False,DOWN,DOWN
330,360,100,50,UP,LEFT,540,52,False,True,True,True,False,False,LEFT,LEFT
380,430,380,200,UP,EQUAL,230,59,True,True,True,False,True,True,UP,UP
170,80,180,80,EQUAL,RIGHT,10,11,True,False,True,True,True,False,RIGHT,RIGHT
120,50,280,160,DOWN,RIGHT,270,32,True,True,True,False,True,False,UP,UP
220,330,30,410,DOWN,LEFT,270,41,True,True,True,False,True,False,UP,UP
50,100,400,20,UP,RIGHT,430,8,True,True,True,False,True,False,UP,UP
400,170,390,170,EQUAL,LEFT,10,49,True,True,False,True,False,False,DOWN,DOWN
50,80,400,20,UP,RIGHT,410,8,True,True,True,False,True,False,UP,UP
50,350,210,440,DOWN,RIGHT,250,44,True,True,True,False,True,False,UP,UP
300,210,40,400,DOWN,LEFT,450,39,False,True,True,True,False,False,LEFT,LEFT
70,10,180,80,DOWN,RIGHT,180,11,False,True,True,True,False,False,LEFT,DOWN
190,450,270,380,UP,RIGHT,150,35,True,False,True,True,False,False,RIGHT,RIGHT
440,150,460,20,UP,RIGHT,150,18,True,False,True,True,True,False,RIGHT,RIGHT
130,90,130,70,UP,EQUAL,20,13,True,True,True,False,False,False,UP,UP
290,350,390,260,UP,RIGHT,190,38,True,True,True,False,True,True,UP,RIGHT
390,240,370,230,UP,LEFT,30,50,True,False,True,True,True,False,RIGHT,RIGHT
60,300,290,50,UP,RIGHT,480,42,True,False,True,True,False,False,RIGHT,RIGHT
240,170,280,160,UP,RIGHT,50,32,False,True,True,True,False,False,LEFT,LEFT
310,330,440,370,DOWN,RIGHT,170,37,True,False,True,True,False,False,RIGHT,RIGHT
150,410,220,360,UP,RIGHT,120,40,True,False,True,True,True,False,RIGHT,RIGHT
450,230,120,80,UP,LEFT,480,61,True,True,False,True,True,False,DOWN,DOWN
320,150,310,120,UP,LEFT,40,48,True,True,True,False,False,False,UP,LEFT
60,100,60,180,DOWN,EQUAL,80,14,True,True,False,True,True,False,DOWN,DOWN
390,200,360,430,DOWN,LEFT,260,56,True,True,False,True,False,False,DOWN,DOWN
320,210,20,330,DOWN,LEFT,420,33,True,True,False,True,False,False,DOWN,DOWN
110,120,30,440,DOWN,LEFT,400,12,False,True,True,True,False,False,LEFT,LEFT
160,0,420,20,DOWN,RIGHT,280,4,True,False,False,True,False,False,RIGHT,RIGHT
290,170,280,160,UP,LEFT,20,32,True,True,False,True,False,False,DOWN,LEFT
370,50,390,80,DOWN,RIGHT,50,55,True,False,True,True,False,False,RIGHT,RIGHT
130,120,120,70,UP,LEFT,60,31,False,True,True,True,False,False,LEFT,LEFT
190,20,400,20,EQUAL,RIGHT,210,8,True,True,True,False,False,False,UP,UP
180,220,180,360,DOWN,EQUAL,140,53,True,True,False,True,True,False,DOWN,DOWN
300,50,310,120,DOWN,RIGHT,80,48,True,True,True,False,False,False,UP,RIGHT
400,200,390,170,UP,LEFT,40,49,True,True,False,True,False,False,DOWN,DOWN
350,150,460,20,UP,RIGHT,240,18,True,False,True,True,True,False,RIGHT,RIGHT
20,340,30,410,DOWN,RIGHT,80,41,True,True,False,True,True,False,DOWN,DOWN
380,300,280,210,UP,LEFT,190,17,False,True,True,True,False,False,LEFT,LEFT
280,240,280,210,UP,EQUAL,30,17,True,True,True,False,True,False,UP,UP
320,150,450,270,DOWN,RIGHT,250,16,True,False,True,True,False,False,RIGHT,RIGHT
320,60,120,50,UP,LEFT,210,27,True,True,True,False,True,False,UP,UP
200,330,20,330,EQUAL,LEFT,180,33,False,True,True,True,False,False,LEFT,LEFT
240,360,100,50,UP,LEFT,450,52,False,True,True,True,False,False,LEFT,LEFT
60,220,260,150,UP,RIGHT,270,15,True,True,False,True,True,False,DOWN,RIGHT
200,110,50,250,DOWN,LEFT,290,7,True,True,False,True,False,False,DOWN,DOWN
180,210,180,360,DOWN,EQUAL,150,53,True,True,False,True,True,False,DOWN,DOWN
300,430,390,260,UP,RIGHT,260,38,False,True,True,True,True,False,LEFT,LEFT
450,360,460,440,DOWN,RIGHT,90,58,True,True,False,True,True,False,DOWN,DOWN
60,70,220,70,EQUAL,RIGHT,160,29,True,True,False,True,True,False,DOWN,RIGHT
170,260,50,250,UP,LEFT,130,7,False,True,True,True,True,False,LEFT,LEFT
70,280,100,10,UP,RIGHT,300,10,True,True,True,False,True,False,UP,UP
440,400,390,260,UP,LEFT,190,38,True,True,False,True,False,False,DOWN,DOWN
370,230,370,330,EQUAL,EQUAL,100,51,True,True,False,True,False,False,DOWN,DOWN
390,70,390,80,DOWN,EQUAL,10,55,True,True,False,True,False,False,DOWN,DOWN
120,20,100,10,UP,LEFT,30,10,True,True,False,True,True,False,DOWN,DOWN
200,310,430,320,DOWN,RIGHT,240,46,True,False,True,True,True,False,RIGHT,RIGHT
180,410,220,360,UP,RIGHT,90,40,True,False,True,True,True,False,RIGHT,RIGHT
320,280,180,280,EQUAL,LEFT,140,24,False,True,True,True,True,False,LEFT,LEFT
80,30,60,180,DOWN,LEFT,170,14,False,True,True,True,False,False,LEFT,LEFT
310,370,100,370,EQUAL,LEFT,210,9,False,True,True,True,True,False,LEFT,LEFT
300,230,460,190,UP,RIGHT,200,20,True,False,True,True,False,False,RIGHT,RIGHT
450,160,370,230,DOWN,LEFT,150,50,True,True,True,False,True,False,UP,UP
440,230,460,190,UP,RIGHT,60,20,True,False,True,True,False,False,RIGHT,RIGHT
430,230,40,240,DOWN,LEFT,400,57,True,True,True,False,True,False,UP,LEFT
70,140,100,10,UP,RIGHT,160,10,True,True,True,False,True,False,UP,UP
160,150,170,100,UP,RIGHT,60,6,True,True,False,True,False,False,DOWN,DOWN
450,190,460,440,DOWN,RIGHT,260,58,True,False,True,True,True,False,RIGHT,DOWN
300,450,280,450,EQUAL,LEFT,20,47,False,True,True,True,False,False,LEFT,LEFT
110,330,20,330,EQUAL,LEFT,90,33,False,True,True,True,False,False,LEFT,LEFT
220,190,460,440,DOWN,RIGHT,490,58,True,False,True,True,True,False,RIGHT,RIGHT
380,330,440,370,DOWN,RIGHT,100,37,True,False,True,True,False,False,RIGHT,RIGHT
310,100,310,120,DOWN,EQUAL,20,48,True,False,False,True,True,True,DOWN,DOWN
20,110,10,110,EQUAL,LEFT,10,28,True,True,False,True,False,False,DOWN,DOWN
50,280,10,460,DOWN,LEFT,220,25,False,True,True,True,True,False,LEFT,LEFT
210,450,210,440,UP,EQUAL,10,44,False,True,True,True,False,False,LEFT,LEFT
320,230,460,190,UP,RIGHT,180,20,True,False,True,True,False,False,RIGHT,RIGHT
250,150,260,150,EQUAL,RIGHT,10,15,True,False,True,True,False,False,RIGHT,RIGHT
220,300,290,50,UP,RIGHT,320,42,True,False,True,True,False,False,RIGHT,RIGHT
190,280,30,410,DOWN,LEFT,290,41,False,True,True,True,True,False,LEFT,LEFT
130,280,10,460,DOWN,LEFT,300,25,False,True,True,True,True,False,LEFT,LEFT
190,260,150,260,EQUAL,LEFT,40,21,False,True,True,True,False,False,LEFT,LEFT
250,70,270,120,DOWN,RIGHT,70,30,True,False,True,True,False,False,RIGHT,RIGHT
100,230,40,240,DOWN,LEFT,70,57,False,True,True,True,True,False,LEFT,DOWN
310,120,390,170,EQUAL,EQUAL,130,49,True,False,False,True,True,True,DOWN,DOWN
80,310,110,440,DOWN,RIGHT,160,22,True,True,False,True,False,False,DOWN,RIGHT
340,230,460,190,UP,RIGHT,160,20,True,False,True,True,False,False,RIGHT,RIGHT
140,160,260,150,UP,RIGHT,130,15,True,True,True,False,True,False,UP,UP
350,280,180,280,EQUAL,LEFT,170,24,True,True,True,False,True,False,UP,LEFT
260,210,40,210,EQUAL,LEFT,220,45,False,True,True,True,True,False,LEFT,LEFT
220,450,270,380,UP,RIGHT,120,35,True,False,True,True,False,False,RIGHT,RIGHT
10,440,10,460,DOWN,EQUAL,20,25,True,True,False,True,True,False,DOWN,DOWN
160,310,390,80,UP,RIGHT,460,55,True,True,True,False,False,False,UP,UP
140,70,220,70,EQUAL,RIGHT,80,29,True,False,True,True,False,False,RIGHT,RIGHT
390,220,40,400,DOWN,LEFT,530,39,True,True,True,False,False,False,UP,UP
230,160,280,160,EQUAL,RIGHT,50,32,True,True,False,False,True,False,DOWN,RIGHT
130,120,130,70,UP,EQUAL,50,13,True,True,True,False,False,False,UP,UP
240,440,40,210,UP,LEFT,430,45,True,False,True,True,False,False,RIGHT,RIGHT
440,80,120,80,EQUAL,EQUAL,320,61,True,False,True,True,True,False,RIGHT,RIGHT
360,260,150,260,EQUAL,LEFT,210,21,False,True,True,True,False,False,LEFT,LEFT
120,60,130,10,UP,RIGHT,60,3,True,True,False,True,True,False,DOWN,DOWN
40,360,30,440,DOWN,LEFT,90,12,True,True,False,True,False,False,DOWN,DOWN
230,260,150,260,EQUAL,LEFT,80,21,False,True,True,True,False,False,LEFT,LEFT
250,40,280,160,DOWN,RIGHT,150,32,True,False,True,True,True,False,RIGHT,RIGHT
50,90,10,110,DOWN,LEFT,60,28,False,True,True,True,False,False,LEFT,LEFT
150,0,130,10,DOWN,LEFT,30,3,False,True,False,True,False,False,LEFT,LEFT
120,290,130,70,UP,RIGHT,230,13,True,True,True,False,False,False,UP,UP
110,30,100,10,UP,LEFT,30,10,True,True,True,False,True,False,UP,UP
70,30,400,20,UP,RIGHT,340,8,True,False,True,True,True,False,RIGHT,RIGHT
370,90,370,230,DOWN,EQUAL,140,50,False,True,True,True,True,False,LEFT,LEFT
160,150,280,160,DOWN,RIGHT,130,32,True,False,True,True,True,True,RIGHT,RIGHT
120,210,40,400,DOWN,LEFT,270,39,False,True,True,True,False,False,LEFT,LEFT
280,230,40,240,DOWN,LEFT,250,57,False,True,True,True,True,False,LEFT,LEFT
160,390,80,410,DOWN,LEFT,100,34,True,True,False,True,False,False,DOWN,LEFT
340,50,390,80,DOWN,RIGHT,80,55,True,False,True,True,False,False,RIGHT,RIGHT
40,300,290,50,UP,RIGHT,500,42,True,False,True,True,False,False,RIGHT,RIGHT
160,230,40,240,DOWN,LEFT,130,57,False,True,True,True,True,False,LEFT,LEFT
150,340,160,420,DOWN,RIGHT,90,43,True,True,False,True,False,False,DOWN,DOWN
380,240,370,230,UP,LEFT,20,50,True,False,True,True,True,False,RIGHT,RIGHT
280,160,460,20,UP,RIGHT,320,18,True,True,True,False,True,False,UP,UP
80,120,30,440,DOWN,LEFT,370,12,False,True,True,True,False,False,LEFT,LEFT
180,200,180,360,DOWN,EQUAL,160,53,True,True,False,True,True,False,DOWN,DOWN
310,150,450,270,DOWN,RIGHT,260,16,True,False,True,True,False,False,RIGHT,RIGHT
50,280,30,410,DOWN,LEFT,150,41,False,True,True,True,True,False,LEFT,LEFT
270,370,100,370,EQUAL,LEFT,170,9,False,True,True,True,True,False,LEFT,LEFT
160,60,160,420,DOWN,EQUAL,360,43,True,True,False,True,True,False,DOWN,DOWN
40,210,40,400,DOWN,EQUAL,190,39,False,True,True,True,False,False,LEFT,DOWN
170,100,50,250,EQUAL,EQUAL,270,7,True,True,True,False,True,False,UP,UP
